id_departamento,grupo_etario,cantidad
6861,0-5,14893
6861,6-12,19249
6861,12-18,24673
6861,>18,221724
6868,0-5,2583
6868,6-12,3608
6868,12-18,4460
6868,>18,26673
6875,0-5,2586
6875,6-12,3167
6875,12-18,3798
6875,>18,22999
6882,0-5,9976
6882,6-12,13121
6882,12-18,15610
6882,>18,92707
10007,0-5,374
10007,6-12,365
10007,12-18,475
10007,>18,3869
10014,0-5,243
10014,6-12,286
10014,12-18,370
10014,>18,2382
10021,0-5,1535
10021,6-12,1720
10021,12-18,2368
10021,>18,13921
10028,0-5,142
10028,6-12,203
10028,12-18,212
10028,>18,1264
10035,0-5,2482
10035,6-12,2993
10035,12-18,3870
10035,>18,21007
10042,0-5,1697
10042,6-12,1892
10042,12-18,2395
10042,>18,13486
10049,0-5,14250
10049,6-12,17212
10049,12-18,20464
10049,>18,134539
10056,0-5,394
10056,6-12,448
10056,12-18,554
10056,>18,2978
10063,0-5,1207
10063,6-12,1424
10063,12-18,1624
10063,>18,10368
10070,0-5,2352
10070,6-12,2725
10070,12-18,3265
10070,>18,17998
10077,0-5,317
10077,6-12,429
10077,12-18,533
10077,>18,3416
10084,0-5,988
10084,6-12,1243
10084,12-18,1558
10084,>18,8429
10091,0-5,2179
10091,6-12,2579
10091,12-18,3038
10091,>18,19024
10098,0-5,1154
10098,6-12,1288
10098,12-18,1549
10098,>18,9325
10105,0-5,2024
10105,6-12,2400
10105,12-18,3068
10105,>18,17761
10112,0-5,2667
10112,6-12,3303
10112,12-18,3905
10112,>18,24075
14007,0-5,5902
14007,6-12,7284
14007,12-18,8294
14007,>18,53981
14014,0-5,105777
14014,6-12,127379
14014,12-18,154598
14014,>18,1110302
14021,0-5,24253
14021,6-12,29932
14021,12-18,34500
14021,>18,205825
14028,0-5,5650
14028,6-12,6501
14028,12-18,7447
14028,>18,45149
14035,0-5,2905
14035,6-12,3263
14035,12-18,3903
14035,>18,25992
14042,0-5,12494
14042,6-12,14299
14042,12-18,16119
14042,>18,109483
14049,0-5,3125
14049,6-12,3562
14049,12-18,4456
14049,>18,24879
14056,0-5,5605
14056,6-12,6415
14056,12-18,7384
14056,>18,48912
14063,0-5,7791
14063,6-12,9153
14063,12-18,10574
