Cueanexo,Primario,Secundario,Inicial,id_departamento
20100000,1, ,,21140
20100100, , ,1,21140
20100400,1,1,1,21110
20100500,1, ,,21110
20100700,1, ,,21070
20100800,1, ,,21110
20100900,1, ,,21150
20101000, ,1,,21150
20101100, ,1,,21150
20101300,1, ,,21120
20101400,1, ,,21120
20101700, , ,,21140
20101900, , ,,21130
20102100, , ,,21130
20102400, , ,1,21120
20102500,1, ,,21120
20102600,1, ,,21060
20102700,1, ,,21060
20102900, , ,1,21070
20103000,1, ,,21110
20103600,1, ,,21140
20103800, ,1,,21150
20104000,1,1,1,21140
20104100, ,1,,21140
20104400, , ,1,21150
20104600,1, ,,21120
20104700,1, ,,21120
20104900,1,1,1,21120
20105000, , ,1,21120
20105001, , ,1,21120
20105002, , ,1,21120
20105003, , ,1,21120
20105100, ,1,,21140
20105200,1,1,1,21140
20105300,1, ,1,21130
20105400,1,1,1,21020
20105700, , ,1,21080
20105800, , ,1,21080
20105801, , ,1,21040
20105802, , ,1,21080
20105803, , ,1,21080
20105900,1, ,,21080
20106200, ,1,,21080
20106800,1, ,1,21130
20106900, ,1,,21130
20107000,1, ,,21130
20107400, , ,,21100
20107900, ,1,,21070
20108000,1, ,,21130
20108100,1, ,,21130
20108200,1, ,,21140
20108500, ,1,,21080
20108600,1, ,,21080
20108700,1, ,,21080
20108800,1,1,1,21080
20109000, , ,1,21080
20109100,1,1,1,21080
20109200,1, ,,21080
20109300,1, ,,21080
20109400,1, ,,21080
20109500,1, ,,21080
20109600, , ,,21010
20110200,1, ,,21060
20110300,1, ,,21060
20110400, , ,,21030
20110600, , ,,21010
20111100,1,1,1,21080
20111600, , ,,21060
20112100, , ,,21010
20112200,1, ,,21010
20112400,1, ,,21080
20112500,1, ,,21080
20112600, , ,1,21080
20112800, ,1,,21080
20113200, , ,1,21010
20113300,1, ,,21010
20113400,1,1,1,21010
20113600, ,1,,21010
20113700, ,1,,21080
20113800, , ,,21070
20113900, , ,,21050
20114000,1,1,1,21150
20114600,1,1,,21010
20114700,1,1,1,21030
20114800,1, ,,21030
20114900,1,1,1,21030
20115100, , ,,21010
20115200,1, ,,21010
20115300, , ,,21030
20115500, , ,1,21010
20115800,1, ,,21020
20116000,1, ,,21020
20116100,1, ,,21020
20116200, ,1,,21030
20116500, , ,1,21020
20116600,1, ,,21020
20116700,1, ,,21090
20116800,1, ,,21090
20116900, ,1,,21090
20117000, ,1,,21090
20117100,1,1,1,21080
20117200,1, ,,21090
20117300, , ,,21050
20117301, , ,,21060
20117302, , ,,21140
20117303, , ,,21030
20117304, , ,,21150
20117305, , ,,21010
20117400, ,1,,21010
20117500, , ,,21010
20117600,1,1,1,21010
20117700,1,1,1,21030
20117800,1, ,,21040
20118100, , ,1,21040
20118200, ,1,,21040
20118500,1, ,,21120
20118600,1,1,1,21120
20118700,1,1,1,21100
20118800,1,1,1,21100
20118900,1, ,,21100
20119000,1,1,1,21070
20119100,1,1,1,21070
20119200,1, ,,21070
20119300, , ,1,21070
20119400, , ,1,21070
20119500,1,1,1,21070
20119600,1,1,1,21070
20119700,1, ,,21070
20119800, ,1,,21070
20119900, , ,1,21100
20120100, , ,1,21100
20120101, , ,1,21100
20120102, , ,1,21110
20120103, , ,1,21110
20120200,1, ,,21070
20120400,1,1,1,21130
20120600,1,1,1,21130
20120800,1, ,,21130
20120900,1,1,1,21120
20121100, , ,1,21130
20121101, , ,1,21130
20121102, , ,1,21130
20121200,1, ,,21130
20121300,1, ,,21130
20121400,1,1,,21130
20121401, , ,1,21130
20121500,1, ,,21100
20121600, ,1,,21040
20121700,1,1,1,21040
20121800,1,1,1,21100
20122000,1,1,1,21120
20122100,1,1,1,21050
20122200, ,1,,21050
20122400, , ,,21050
20122500,1,1,1,21050
20122800, ,1,,21070
20122900,1,1,1,21100
20123000, ,1,,21100
20123100, ,1,,21100
20123200, ,1,,21010
20123300,1,1,1,21030
20123400, ,1,,21020
20123700,1, ,,21010
20123900,1,1,1,21010
20124000,1, ,,21010
20124300,1, ,,21010
20124500, ,1,,21010
20124700, ,1,,21130
20124800,1,1,1,21130
20125000, ,1,,21070
20125100,1,1,1,21070
20125200,1,1,1,21070
20125300, ,1,,21100
20125400,1, ,,21030
20125500,1, ,,21030
20125600,1, ,1,21050
20126000,1, ,,21030
20126100,1, ,,21030
20126200,1, ,,21030
20126300,1, ,,21030
20126400,1, ,,21060
20126500,1, ,,21060
20126600,1,1,1,21060
20126700, ,1,,21060
20126800,1,1,1,21060
20126900,1,1,1,21060
20127000,1,1,1,21060
20127100, ,1,,21060
20127200,1, ,,21150
20127300, , ,1,21060
20127600,1,1,1,21120
20127800, , ,1,21120
20127802, , ,1,21120
20127900,1, ,,21120
20128000,1,1,1,21130
20128100, ,1,,21010
20128400, , ,,21010
20128700, , ,,21010
20128800, ,1,,21040
